Year,Country,Parent_company,Empty,HDPE,LDPE,O,PET,PP,PS,PVC,Grand_Total,num_events,volunteers
2019,Argentina,Unbranded,0,155,50,532,848,122,114,17,1838,4,243
2019,Argentina,The Coca-Cola Company,0,0,0,0,222,35,0,0,257,4,243
2019,Argentina,Secco,0,0,0,0,39,4,0,0,43,4,243
2019,Argentina,Doble Cola,0,0,0,0,38,0,0,0,38,4,243
2019,Argentina,Pritty,0,0,0,0,22,7,0,0,29,4,243
2019,Argentina,PepsiCo,0,0,0,0,21,6,0,0,27,4,243
2019,Argentina,Casoni,0,0,0,0,26,0,0,0,26,4,243
2019,Argentina,Villa Del Sur - Levite,0,0,0,0,19,1,0,0,20,4,243
2019,Argentina,Manaos,0,0,0,0,14,4,0,0,18,4,243
2019,Argentina,La Bichy Ahora,0,0,0,0,14,3,0,0,17,4,243
2019,Argentina,Villavicencio,0,0,0,0,14,1,0,0,15,4,243
2019,Argentina,Eco De Los Andes,0,0,0,0,14,0,0,0,14,4,243
2019,Argentina,Cavatini,0,0,0,13,0,0,0,0,13,4,243
2019,Argentina,Villa Del Sur,0,0,0,0,8,3,0,0,11,4,243
2019,Argentina,Cepita,0,0,0,0,9,0,0,0,9,4,243
2019,Argentina,Livra,0,0,0,0,5,4,0,0,9,4,243
2019,Argentina,Nestlé,0,1,0,0,6,2,0,0,9,4,243
2019,Argentina,Vino Toro,0,0,0,8,0,0,0,0,8,4,243
2019,Argentina,Frutafiel,0,0,0,0,6,1,0,0,7,4,243
2019,Argentina,Unilever,0,1,0,3,1,2,0,0,7,4,243
2019,Argentina,Arcor,0,0,0,1,0,5,0,0,6,4,243
2019,Argentina,SC Johnson,0,1,1,3,0,0,0,0,5,4,243
2019,Argentina,Seven Up,0,0,0,0,5,0,0,0,5,4,243
2019,Argentina,Dea,0,0,0,0,3,2,0,0,5,4,243
2019,Argentina,Sierra De Los Padres,0,0,0,0,4,1,0,0,5,4,243
2019,Argentina,The Clorox Group,0,4,0,0,0,1,0,0,5,4,243
2019,Argentina,Goliat,0,0,0,0,2,2,0,0,4,4,243
2019,Argentina,Pipas,0,0,0,0,0,4,0,0,4,4,243
2019,Argentina,Mondelez International,0,0,0,0,0,4,0,0,4,4,243
2019,Argentina,Dr Pepper Snapple Group,0,0,0,1,3,0,0,0,4,4,243
2019,Argentina,Schneider,0,0,0,4,0,0,0,0,4,4,243
2019,Argentina,Tacconi,0,0,0,0,4,0,0,0,4,4,243
2019,Argentina,Brahma,0,0,0,3,0,0,0,0,3,4,243
2019,Argentina,Baggio Pronto,0,0,0,3,0,0,0,0,3,4,243
2019,Argentina,Fantoche,0,0,0,0,0,3,0,0,3,4,243
2019,Argentina,Fernando,0,0,0,0,1,2,0,0,3,4,243
2019,Argentina,Ferrero Group,0,1,0,0,0,2,0,0,3,4,243
2019,Argentina,Quilmes,0,0,0,3,0,0,0,0,3,4,243
